article_id,title,link,creator,pubdate,category,description,source,country,article_type,scrape_timestamp
7b87f62dfd2881743a3ca3f04f1e2bc4,"Harry Vafias’ shipping companies: $180M in revenue, $62M profit, $1.4B in assets, and $303M in liquidity",https://en.protothema.gr/2025/09/09/harry-vafias-shipping-companies-180m-in-revenue-62m-profit-1-4b-in-assets-and-303m-in-liquidity/,admin,2025-09-09T11:19:43Z,dry bulk shipping,"StealthGas, Imperial Petroleum, and C3is: A leading presence in global maritime transport with zero bank debt
The post Harry Vafias’ shipping companies: $180M in revenue, $62M profit, $1.4B in assets, and $303M in liquidity appeared first on ProtoThema Englis…",Protothema.gr,Global,News,2025-09-10T18:29:17.498480Z
d9d63049f04cce40a8d004e4a9c8c147,Imperial Petroleum shows strong liquidity,https://www.naftemporiki.gr/english/2003261/imperial-petroleum-shows-strong-liquidity/,Γιάννα Βαρδαλαχάκη,2025-09-09T08:57:49Z,dry bulk shipping,"Imperial Petroleum, owned by Haris Vafias, recorded strong profitability, significant liquidity enhancement and impressive fleet renewal in the second quarter of 2025.
The company, which is active in the maritime…
Imperial Petroleum shows strong liquidity - Η…",Naftemporiki.gr,Unknown,News,2025-09-10T18:29:17.498540Z
aa1a929a957b57314a0d710bae334547,"Amundi Purchases 693,683 Shares of Star Bulk Carriers Corp. $SBLK",https://www.etfdailynews.com/2025/09/09/amundi-purchases-693683-shares-of-star-bulk-carriers-corp-sblk/,MarketBeat News,2025-09-09T08:04:49Z,dry bulk shipping,"Amundi grew its position in shares of Star Bulk Carriers Corp. (NASDAQ:SBLK – Free Report) by 59.1% during the 1st quarter, according to the company in its most recent filing with the Securities & Exchange Commission. The institutional investor owned 1,868,24…",ETF Daily News,Unknown,Market Report,2025-09-10T18:29:17.498588Z
cfb6d1b19bb9010b023982a13de217ae,SFL Corporation Ltd. $SFL Shares Acquired by Quarry LP,https://www.etfdailynews.com/2025/09/08/sfl-corporation-ltd-sfl-shares-acquired-by-quarry-lp/,MarketBeat News,2025-09-08T08:30:54Z,dry bulk shipping,"Quarry LP boosted its stake in SFL Corporation Ltd. (NYSE:SFL – Free Report) by 183.6% during the first quarter, according to its most recent 13F filing with the SEC. The firm owned 3,706 shares of the shipping company’s stock after acquiring an additional 2,…",ETF Daily News,Unknown,Market Report,2025-09-10T18:29:17.498632Z
1bc7e647ce77c0dee14ba861b7fc17ce,MetLife Investment Management LLC Decreases Stake in Golden Ocean Group Limited $GOGL,https://www.etfdailynews.com/2025/09/08/metlife-investment-management-llc-decreases-stake-in-golden-ocean-group-limited-gogl/,MarketBeat News,2025-09-08T08:16:48Z,dry bulk shipping,"MetLife Investment Management LLC reduced its holdings in Golden Ocean Group Limited (NASDAQ:GOGL – Free Report) by 6.6% during the 1st quarter, HoldingsChannel.com reports. The institutional investor owned 66,790 shares of the shipping company’s stock after …",ETF Daily News,Unknown,Market Report,2025-09-10T18:29:17.498684Z
c006c5ee236b8eecaa28d1ad5eb7a562,MetLife Investment Management LLC Lowers Stake in SFL Corporation Ltd. $SFL,https://www.etfdailynews.com/2025/09/08/metlife-investment-management-llc-lowers-stake-in-sfl-corporation-ltd-sfl/,MarketBeat News,2025-09-08T07:38:50Z,dry bulk shipping,"MetLife Investment Management LLC lowered its stake in shares of SFL Corporation Ltd. (NYSE:SFL – Free Report) by 5.0% during the 1st quarter, according to the company in its most recent 13F filing with the SEC. The institutional investor owned 74,773 shares …",ETF Daily News,Unknown,Market Report,2025-09-10T18:29:17.498732Z
b98937b072214d24510c949c8155b515,Critical Contrast: Globus Maritime (NASDAQ:GLBS) & CMB.TECH (NYSE:CMBT),https://www.etfdailynews.com/2025/09/08/critical-contrast-globus-maritime-nasdaqglbs-cmb-tech-nysecmbt/,MarketBeat News,2025-09-08T07:24:50Z,dry bulk shipping,"Globus Maritime (NASDAQ:GLBS – Get Free Report) and CMB.TECH (NYSE:CMBT – Get Free Report) are both small-cap transportation companies, but which is the superior stock? We will contrast the two businesses based on the strength of their analyst recommendations…",ETF Daily News,Unknown,Market Report,2025-09-10T18:29:17.498792Z
00cc108cdf43795fd805aea996136bda,"Could This “Bible Secret” Be The Cure For Cancer? The WISEST Meal In The World, Pork & Shellfish *Confusion* & Much More With Jordan Rubin",https://bengreenfieldlife.com/podcast/biblio/,support@bengreenfieldfitness.com (Ben Greenfield),2025-09-06T09:00:25Z,dry bulk shipping,"Listen on: Reading time: 6 minutes What I Discuss with Jordan Rubin: Jordan’s family’s tradition of reciting Psalm 91 for
The post Could This “Bible Secret” Be The Cure For Cancer? The WISEST Meal In The World, Pork & Shellfish *Confusion* & Much More With Jo…",Bengreenfieldlife.com,Unknown,News,2025-09-10T18:29:17.498852Z
25f8e51ecd52abed56125a33f6c0a9df,"Walleye Capital LLC Invests $132,000 in Pangaea Logistics Solutions Ltd. $PANL",https://www.etfdailynews.com/2025/09/06/walleye-capital-llc-invests-132000-in-pangaea-logistics-solutions-ltd-panl/,MarketBeat News,2025-09-06T08:06:54Z,dry bulk shipping,"Walleye Capital LLC bought a new position in shares of Pangaea Logistics Solutions Ltd. (NASDAQ:PANL – Free Report) during the 1st quarter, according to the company in its most recent Form 13F filing with the SEC. The firm bought 27,699 shares of the shipping…",ETF Daily News,Unknown,Market Report,2025-09-10T18:29:17.498899Z
84d907f240398d7018f000c1000de83c,SFL Corporation Ltd. $SFL Position Trimmed by Trexquant Investment LP,https://www.etfdailynews.com/2025/09/06/sfl-corporation-ltd-sfl-position-trimmed-by-trexquant-investment-lp/,MarketBeat News,2025-09-06T08:04:53Z,dry bulk shipping,"Trexquant Investment LP lessened its holdings in shares of SFL Corporation Ltd. (NYSE:SFL – Free Report) by 59.8% during the 1st quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission (SEC). The institution…",ETF Daily News,Unknown,Market Report,2025-09-10T18:29:17.498943Z
